MerchantID,MerchantName,MerchantCategory,Region,Country,City,OnboardedDate,Status,AnnualVolume,ContactEmail
M7653,Lyons-Dyer,Entertainment,EMEA,ZA,Frenchport,2024-02-13,Active,26734802.52,hinesdiane@berg.info
M7865,"Patel, Taylor and Montgomery",Healthcare,EMEA,NL,South Philip,2026-04-21,Active,44247043.85,ralphhudson@williams-summers.net
M3226,"Lowe, Alexander and Hall",Entertainment,LATAM,CL,New Tanyaton,2024-01-08,Active,16627252.72,xmorgan@mcdonald.com
M5912,"Medina, Lee and Roberson",atm withdrawal,LATAM,CO,East Susan,2026-04-19,Active,24578926.3,caldwellsusan@ramos.info
M8237,Reid and Sons,Retail,LATAM,CL,East Rodney,2026-02-25,Active,30480556.66,nbarrera@ramirez-sanchez.com
M3004, Taylor and Sons,healthcare,EMEA,NL,North Nicholasstad,2021-12-26,Active,30682234.95,sullivanalfred@rodriguez.info
M5736,"Montes, Weaver and Nelson",Travel,APAC,AU,Davidbury,2024-09-16,Active,40598778.44,ksmith@farrell.net
M8290,Johnson LLC,ATM Withdrawal,APAC,HK,Taylorton,2024-02-09,Active,3211614.57,cindy99@humphrey-green.org
M9946,Garcia-Snow,utilities,APAC,AU,Danielleborough,2022-07-09,Active,40851251.66,deantimothy@swanson.com
M7295,Martin Inc,Restaurant,LATAM,AR,Aprilbury,2023-11-04,Active,5872526.85,tranmichael@hayden-stevens.com
M7680,Bentley-Bradley ,utilities,North America,US,Dalebury,2023-07-06,Active,10323313.87,jerrynelson@johnson-morales.com
M9371,Morrow Inc,RETAIL,EMEA,AE,Victoriaside,2026-06-02,Active,26049068.8,nicholasvazquez@roberts.com
M0330,"Henry, Knight and Stephens",ATM WITHDRAWAL,LATAM,CL,Jessicaview,2025-10-19,Active,26308497.96,caseymoore@weiss-weaver.info
M4859, Hansen-Williams,atm withdrawal,APAC,SG,South Michaelland,2022-03-08,Active,37859002.77,eskinner@cuevas.com
M0770,Wu Group,restaurant,LATAM,CO,New Kelseyview,2024-11-01,Active,39323599.05,cmyers@ross-gaines.com
M3194," Johnson, Taylor and Key",retail,EMEA,DE,Alexandratown,2023-04-27,Active,4658813.6,sherri11@hicks.com
M8473,"Steele, Schmitt and Morrow ",online,EMEA,GB,West Robert,2023-12-20,Active,43249090.16,jenniferwalker@parker-manning.com
M3607,Bishop-Williams,ENTERTAINMENT,EMEA,DE,Lake Paul,2025-02-20,Active,8454012.09,christopherwalter@wallace-bradley.com
M2566,"Garcia, Rios and Martin",Entertainment,APAC,IN,South Toddtown,2025-07-05,Active,6968549.69,danacoleman@perez-curtis.org
M3594,Haynes Group,atm withdrawal,North America,US,Robertton,2026-04-30,Active,28587318.14,helenglass@patterson.biz
M9345, Scott-Carter,retail,North America,MX,Lake Melodybury,2023-01-15,Active,24530743.28,dconrad@lopez.info
M5774,"Gross, Beltran and Dawson",utilities,EMEA,AE,Greenmouth,2024-12-05,Active,35188560.44,blewis@martinez-burke.net
M9486,Palmer PLC ,online,North America,MX,Mooreshire,2021-08-14,Active,7562153.12,trevorchandler@hardy-suarez.biz
M9120,Brady-Lewis,RETAIL,EMEA,FR,Stanleyfurt,2023-12-22,Active,45288900.96,kevin46@miranda.com
M5331,Hayes-Baker,ATM WITHDRAWAL,LATAM,BR,Josephborough,2025-08-28,Active,12895923.88,jesusjames@butler.com
M4506,Thompson-Fisher,Entertainment,EMEA,DE,Freemanhaven,2022-08-30,Active,44793687.59,vargaskevin@cummings.com
M6524,Rowe and Sons,online,LATAM,AR,Port Alextown,2025-12-27,Active,16843783.12,davidsantana@clark.net
M5028,Huber Inc,ATM WITHDRAWAL,LATAM,BR,Hudsonville,2024-05-19,Active,24766166.23,katherine59@wilson-bradley.com
M7819,Mendoza PLC,Online,LATAM,BR,West Jasmine,2023-09-24,Active,33410748.91,amanda30@chung-burgess.com
M9960," Weaver, Fowler and Rios",online,North America,CA,Amandachester,2023-03-17,Active,10351634.83,johnsonwanda@howard.org
M4190,"Smith, Mccullough and Meyer",HEALTHCARE,EMEA,DE,Steveshire,2023-07-23,Active,25222287.54,ericksonnicholas@davila.com
M3696,"Williams, Goodman and Dennis",Online,EMEA,GB,Edwardsville,2026-01-24,Active,23710386.82,samuel60@snyder.com
M6155,"Ibarra, Harmon and Rodriguez",Entertainment,APAC,JP,East Tiffany,2022-04-22,Active,28710226.16,james22@spencer.com
M0009,"Ashley, Nielsen and Sellers",Restaurant,North America,US,Tracyville,2026-02-08,Inactive,22697844.6,john39@miller.com
M6892,Thompson Inc ,Healthcare,LATAM,CO,South Carrie,2026-03-02,Active,23846313.09,thomas53@williams.org
M9090,Dixon-Campos,Healthcare,APAC,AU,New Sarahberg,2025-07-01,Active,38581976.03,espinozaterri@cox-howard.com
M4705,Rodriguez Group,atm withdrawal,EMEA,DE,Sonyaland,2021-12-24,Active,6479813.41,curtisneal@weeks.org
M6695, Mendoza Group,ATM Withdrawal,APAC,AU,New Richard,2021-12-26,Active,19182093.41,maciasmichelle@velazquez-quinn.com
M3725,Mejia-Randolph ,restaurant,APAC,JP,Robertville,2022-11-07,Active,40569613.49,alan00@rodriguez.com
M0821,"Tucker, Mercer and Miller",TRAVEL,North America,MX,Kevinmouth,2023-09-19,Active,16544727.02,njohnson@jackson.com
M1344,English-Garcia ,Restaurant,EMEA,DE,New Markside,2024-02-23,Active,22001796.87,tparker@hood.com
